Element,Units,Clarke (1889),Clarke and Washington (1924),Goldschmidt (1933),Shaw et al. (1967),Fahrig and Eade (1968),Ronov and Yaroshevskiy (1976),Condie (1993),Gao et al (1998),Borodin (1998),Taylor and McLennan (1985),Wedepohl (1995),This Study,Eade and Fahrig (1973),Sims et al. (1990),Plank and Langmuir (1998),Peucker-Eherenbrink and Jahn (2001)
SiO2,percent,60.2,60.3,62.22,66.8,66.2,64.8,67,67.97,67.12,65.89,66.8,66.62,,,,
TiO2,percent,0.57,1.07,0.83,0.54,0.54,0.55,0.56,0.67,0.6,0.5,0.54,0.64,,,,
Al2O3,percent,15.27,15.65,16.63,15.05,16.1,15.84,15.14,14.17,15.53,15.17,15.05,15.4,,,,
FeOT,percent,7.26,6.7,6.99,4.09,4.4,5.78,4.76,5.33,4.94,4.49,4.09,5.04,,,,
MnO,percent,0.1,0.12,0.12,0.07,0.08,0.1,0.1,0,0.07,0.07,,0.1,,,,
MgO,percent,4.59,3.56,3.47,2.3,2.2,3.01,2.45,2.62,2.1,2.2,2.3,2.48,,,,
CaO,percent,5.45,5.18,3.23,4.24,3.4,3.91,3.64,3.44,3.51,4.19,4.24,3.59,,,,
Na2O,percent,3.29,3.92,2.15,3.56,3.9,2.81,3.55,2.86,3.21,3.89,3.56,3.27,,,,
K2O,percent,2.99,3.19,4.13,3.19,2.91,3.01,2.76,2.68,3.01,3.39,3.19,2.8,,,,
P2O5,percent,0.23,0.31,0.23,0.15,0.16,0.16,0.12,0.16,0,0.2,0.15,0.15,,,,
Li,ppm,,,,22,,,,20,,20,22,21,,,,
Be,ppm,,,,1.3,,,,1.95,,3,3.1,2.1,,,,
B,ppm,,,,9.2,,,,28,,15,17,17,,,,
N,ppm,,,,,,,,,,,83,83,,,,
F,ppm,,,,500,,,,561,,,611,557,,,,
S,ppm,,,,600,,,,309,,,953,621,,,,
Cl,ppm,,,,100,,,,142,,,640,370,,,,
Sc,ppm,,,,7,,,13.4,15,,13.6,7,14,12,,,
V,ppm,,,,53,,,86,98,,107,53,97,59,,,
Cr,ppm,,,,35,,,112,80,,85,35,92,76,,,
Co,ppm,,,,12,,,18,17,,17,12,17.3,,,,
Ni,ppm,,,,19,,,60,38,,44,19,47,19,,,
Cu,ppm,,,,14,,,,32,,25,14,28,26,,,
Zn,ppm,,,,52,,,,70,,71,52,67,60,,,
Ga,ppm,,,,14,,,,18,,17,14,17.5,,,,
Ge,ppm,,,,,,,,1.34,,1.6,1.4,1.4,,,,
As,ppm,,,,,,,,4.4,,1.5,2,4.8,,5.1,,
Se,ppm,,,,,,,,0.15,,0.05,0.083,0.09,,,,
Br,ppm,,,,,,,,,,,1.6,1.6,,,,
Rb,ppm,,,,110,,,83,82,,112,110,84,85,,,
Sr,ppm,,,,316,,,289,266,,350,316,320,380,,,
Y,ppm,,,,21,,,24,17.4,,22,21,21,21,,,
Zr,ppm,,,,237,,,160,188,,190,237,193,190,,,
Nb,ppm,,,,26,,,9.8,12,,12,26,12,,,13.7,
Mo,ppm,,,,,,,,0.78,,1.5,1.4,1.1,,1.2,,
Ru,ppb,,,,,,,,,,,,0.34,,,,0.34
Pd,ppb,,,,,,,,1.46,,0.5,,0.52,,,,0.52
Ag,ppb,,,,,,,,55,,50,55,53,,,,
Cd,ppm,,,,0.075,,,,0.079,,0.098,0.102,0.09,,,,
In,ppm,,,,,,,,,,0.05,0.061,0.056,,,,
Sn,ppm,,,,,,,,1.73,,5.5,2.5,2.1,,,,
Sb,ppm,,,,,,,,0.3,,0.2,0.31,0.4,,0.45,,
I,ppm,,,,,,,,,,,1.4,1.4,,,,
Cs,ppm,,,,,,,,3.55,,4.6,5.8,4.9,,,7.3,
Ba,ppm,,,,1070,,,633,678,,550,668,624,730,,,
La,ppm,,,,32.3,,,28.4,34.8,,30,32.3,31,71,,,
Ce,ppm,,,,65.6,,,57.5,66.4,,64,65.7,63,,,,
Pr,ppm,,,,,,,,,,7.1,6.3,7.1,,,,
Nd,ppm,,,,25.9,,,25.6,30.4,,26,,27,,,,
Sm,ppm,,,,4.61,,,4.59,5.09,,4.5,4.7,4.7,,,,
Eu,ppm,,,,0.937,,,1.05,1.21,,0.88,0.95,1,,,,
Gd,ppm,,,,,,,4.21,,,3.8,2.8,4,,,,
Tb,ppm,,,,0.481,,,0.66,0.82,,0.64,0.5,0.7,,,,
Dy,ppm,,,,2.9,,,,,,3.5,2.9,3.9,,,,
Ho,ppm,,,,0.62,,,,,,0.8,0.62,0.83,,,,
Er,ppm,,,,,,,,,,2.3,,2.3,,,,
Tm,ppm,,,,,,,,,,0.33,,0.3,,,,
Yb,ppm,,,,1.47,,,1.91,2.26,,2.2,1.5,2,,,,
Lu,ppm,,,,0.233,,,0.32,0.35,,0.32,0.27,0.31,,,,
Hf,ppm,,,,5.8,,,4.3,5.12,,5.8,5.8,5.3,,,,
Ta,ppm,,,,5.7,,,0.79,0.74,,1,1.5,0.9,,,0.96,
W,ppm,,,,,,,,0.91,,2,1.4,1.9,,3.3,,
Re,ppb,,,,,,,,,,0.4,,0.198,,,,0.198
Os,ppb,,,,,,,,,,0.05,,0.031,,,,0.031
Ir,ppb,,,,0.02,,,,,,0.02,,0.022,,,,0.022
Pt,ppb,,,,,,,,,,,,0.5,,,,0.51
Au,ppb,,,,1.81,,,,1.24,,1.8,,1.5,,,,
Hg,ppm,,,,0.096,,,,0.0123,,,0.056,0.05,,,,
T1,ppm,,,,0.524,,,,1.55,,0.75,0.75,0.9,,,,
Pb,ppm,,,,17,,,17,18,,17,17,17,18,,,
Bi,ppm,,,,0.035,,,,0.23,,0.13,0.123,0.16,,,,
Th,ppm,,,,10.3,,,8.6,8.95,,10.7,10.3,10.5,10.8,,,
U,ppm,,,,2.45,,,2.2,1.55,,2.8,2.5,2.7,1.5,,,
